time,N1,N2,N3,N4,N5
23960,19.4646326974652,25.4932311792405,23.6211814044629,0.589681821808285,2.551431956535
23970,22.2302072206666,25.4931640871586,21.3037285573174,0.715429224471233,2.26190488666576
23980,26.6304169133201,16.4791120846368,24.9720035758525,0.910093550754424,3.49203235458576
23990,13.2098658962138,26.8336119479382,28.747277256273,0.32529010299848,0.806250642988309
24000,22.8961834175551,25.5009577739048,18.4397193649401,2.55694256360389,2.42737899421553
24010,12.9564275956511,24.7409133905712,29.4864816816908,0.670653708133345,1.0216607118763
24020,25.4625469216541,6.97074362584653,16.105970709271,10.9278017391983,13.0121214713479
24030,23.22582118924,2.24636037827008,5.71052938244583,21.6787511459221,19.4783323714413
24040,24.7805116175715,1.81015467613285,3.9306627695405,23.2050391970803,18.8750173452532
24050,24.9278926301225,1.34647888394523,4.70707196397929,16.9478794620347,24.951590022363
24060,11.8725517286026,0.554205646392538,0.98124608336917,28.1671133432831,28.3800889599126
24070,26.3629994249201,7.46360586132239,4.04136722600421,19.4593206599062,15.7494458373466
24080,9.14808480479591,1.14157002097,0.711311050284484,31.1856811309656,25.7073301150034
24090,12.375547878818,2.13273687363555,2.32125509646356,19.3367458829909,30.4214090567175
24100,19.5771832509129,11.3662589989435,21.4962630234967,5.09153560485017,14.9901994193306
24110,17.0247357173122,24.0731917796141,23.1496442717751,1.87760541244003,4.77709351667675
24120,24.7287480818379,21.2368041908174,18.4750943204517,2.0419367563349,6.00146810894185
24130,26.3477071630804,20.2149385468453,20.2969395512533,1.71728307640941,4.493429850036
24140,23.4489228300463,18.4079532167778,25.6754843617707,0.931259222749053,4.10203253751336
24150,12.6163449902493,27.8149108415614,28.2718593191448,0.463953499123787,1.01893875754625
24160,23.4478772031569,24.8642173362118,17.9296417670626,2.97796066879523,2.83007429347427
24170,13.2273445280252,24.6269447973208,29.2480848893903,0.763819441883494,1.16251831094231
24180,24.7198556963271,6.77081965293327,15.4252262238824,11.140171320763,14.9151564926968
24190,17.1699126120434,1.60519700478464,4.0815636572044,24.1471109040493,24.5255197009709
24200,18.2239878332989,1.18159927887735,2.70294382281962,25.7149539937087,23.5230980451631
24210,25.3156449302561,2.40886530936402,3.56689266346177,23.4733504727981,17.9095847265982
24220,18.715805771937,0.99252107331947,2.61361338154998,21.0101194213532,27.4072210223095
24230,19.6188845447513,3.88498766234575,2.38638015098242,26.7020544179664,18.0711591916601
24240,6.76481991085607,0.530905397858405,0.439871811271123,29.7187083784708,30.4651775101686
24250,17.8904626038571,8.59859419831981,13.2721011117196,9.78686808946195,20.6881545024106
24260,23.5060642423793,19.9225631498102,15.1778436275763,4.66359364508384,8.25114756093557
24270,16.5334099808713,20.9245039053294,27.1376660127326,1.46339089689458,4.49191134660774
24280,18.7052175346615,23.1420969604023,23.9495254903786,1.23032165766313,4.7911696058971
24290,17.4722518515672,25.7524458509936,25.0549372310387,0.671138133395599,2.53294520221654
24300,19.3010979688334,26.2596079015809,23.1673298897649,0.702057778041387,2.03881281752119
24310,26.7305076224117,20.7673429930293,20.4131079169509,1.70150338748148,3.11114595170652
24320,16.4482175106899,23.4399480347172,28.3909614826403,0.508100972553459,1.38178971479414
24330,19.8350734154983,26.7541595855505,19.8969432898938,2.41581079635772,2.05154693311334
24340,13.515489600327,23.3236599178359,29.5085879285616,0.93228881247625,1.34483451754176
24350,26.2794769917338,8.76662960755607,15.3012522807887,8.2736677722663,14.3744001604892
24360,15.2239870133574,3.53203506246917,3.41836752101827,28.6730986342702,16.8164136794694
24370,4.38351073470625,0.438123206519825,0.548148672850802,32.9639329326628,27.9554714743585
24380,7.19288167837715,1.16746104147339,2.55574637357803,20.0023146223224,33.4921057887147
24390,18.2881563561251,4.92131834712408,20.4772163690377,6.42856556652512,22.022646261378
24400,22.255378620232,4.60624832058205,7.2578461304201,21.7972210307007,14.7349805584245
24410,7.48546101561899,0.60637281117183,1.27602809556857,29.3225439524408,29.7833738091179
24420,23.5534184822723,2.45290961703019,14.5141407750886,10.5067090170596,22.8392404855504
24430,21.5200247551081,0.960136062303006,5.75923441368362,19.1514081908389,25.4008132413101
24440,22.0239721222169,0.568030991003093,3.71778239431408,20.3801724983077,25.9441722487793
24450,18.2027507268901,0.334838180996199,1.74944984871802,23.5921446846419,27.4285847107803
24460,14.8749593447363,0.371761101277133,1.13182835688082,28.0483142348397,26.1750333599755
24470,25.2029984231623,1.60490252225068,2.4889462744982,24.7635219553411,18.4260448608824
24480,16.5433199423606,0.546335238152879,1.43810281518169,22.7817490918778,28.6111621138358
24490,21.0066180077383,3.49046846223343,2.30195241159903,26.2661758865893,18.1175325296685
24500,8.52061941288043,0.559904648238503,0.524977709364788,28.1978337799791,30.2943803487364
24510,19.7650480798865,9.13667191531182,15.3950930325217,8.6843982753414,18.7206017554149
24520,20.0197553935108,23.0364854837289,17.7527325906589,3.74372263773089,6.06905097644541
