x,y,z
0.877512038,0.139853785,4.119771777
0.840606432,0.265353065,4.076193488
0.51601973,0.674385093,4.34154024
0.145330429,0.314960607,4.801161191
0.867826139,0.18315258,4.770796694
0.840812946,0.250137271,4.764092796
0.71624544,0.421232458,4.939287199
0.381566125,0.661484268,5.405587717
0.492598127,0.3523179,5.862890681
0.797670757,0.271487744,6.048361923
0.867496102,0.183446913,6.084514213
0.938424268,0.086380339,5.865132712
0.976961088,0.033315338,5.413502848
0.990135541,0.015000648,4.884305142
0.994105331,0.009451755,4.371622088
0.994885776,0.008602525,3.904053876
0.993653489,0.01112634,3.488607074
0.98900579,0.019959344,3.129696392
0.973712472,0.049050049,2.842165464
0.909294081,0.170554007,2.683277985
0.462649031,0.817660948,2.827716058
0.033127841,0.20393537,3.116843982
0.899017775,0.11978563,2.967002443
0.727083788,0.473175355,2.991730746
0.028252896,0.537490281,3.366303631
0.697432052,0.095433204,3.322031071
0.854116683,0.259399816,3.235012814
0.289916513,0.892064376,3.507413287
0.154842684,0.138774732,3.755390586
0.904664751,0.15720016,3.600567721
0.724237735,0.455527259,3.665053345
0.072255971,0.624889217,4.102226515
0.733869374,0.127418559,4.133239342
0.870438537,0.217089509,4.040125484
0.646230246,0.539954777,4.208975801
0.106215957,0.507566643,4.701737852
0.821209436,0.173181759,4.748452297
0.856068974,0.227617611,4.711085476
0.752900533,0.376003973,4.835998566
0.444214603,0.657571918,5.248788736
0.379414782,0.379747112,5.746716552
0.791490779,0.275922566,5.937758996
0.851722577,0.206790847,6.004918374
0.919084278,0.11419184,5.86617103
0.966061969,0.048996444,5.488922412
0.98535923,0.022074455,4.990677485
0.991691034,0.0131833,4.484136647
0.993279336,0.011187882,4.01392865
0.992244617,0.01346564,3.593425654
0.987467293,0.022551382,3.229628027
0.971900607,0.052002193,2.938712033
0.908692751,0.170446145,2.777997508
0.489359967,0.784942654,2.920128807
0.034173084,0.217959845,3.227292361
0.897463854,0.119161341,3.078750917
0.747977261,0.437783696,3.092547172
0.037359676,0.611977696,3.473132825
0.647731848,0.097617827,3.460361503
0.865739238,0.236927133,3.35967661
0.40254638,0.819629173,3.599730031
0.108341379,0.179482126,3.919464889
0.904449914,0.147972336,3.770414853
0.776412719,0.373431794,3.79350293
0.163918335,0.796550774,4.198540841
0.518599197,0.14361152,4.370024359
0.882299292,0.192642593,4.263832572
0.75113734,0.394225432,4.351028661
0.264000398,0.748416729,4.790607942
0.520504062,0.219183302,5.094542328
0.856590663,0.217049608,5.083672387
0.8260093,0.263817542,5.128381341
0.755442566,0.357288878,5.292157137
0.608974704,0.507058769,5.644297895
0.468125951,0.529749416,6.165327587
0.65369902,0.372510894,6.606769573
0.838113762,0.204471374,6.784297593
0.955356546,0.057554735,6.500335309
0.991011725,0.012126859,5.891516916
0.997576529,0.003511644,5.253006894
0.998965643,0.001601083,4.667699516
0.999311336,0.001127651,4.144190673
0.999314735,0.001176731,3.678846008
0.999024031,0.001744912,3.266497948
0.998085997,0.003541461,2.902840365
0.994990215,0.009542223,2.586658262
0.982746166,0.033623945,2.327337322
0.91813244,0.160076788,2.176976256
0.36410059,0.940534928,2.308983317
0.021311795,0.177610422,2.527837444
0.889450292,0.116890724,2.390800231
0.625804405,0.640719872,2.444916739
0.013170842,0.3364824,2.747367021
0.777298522,0.090318602,2.641372248
0.781651481,0.396508804,2.613519685
0.025392931,0.664406708,2.937302355
0.442220936,0.081474826,2.936238489
0.866991998,0.2429852,2.831965078
0.229642681,0.951724859,3.077353548
0.112748512,0.12069883,3.276552883
0.907274114,0.155770268,3.119690094
0.632127106,0.600526579,3.217856842
0.03306158,0.36140196,3.606376163
0.855620081,0.112431914,3.500846718
0.82726525,0.300668077,3.451678145
0.231281803,0.877141022,3.776861382
0.270039436,0.133240109,3.996519214
0.89723021,0.171156562,3.854750445
0.732095658,0.435303804,3.930169349
0.11669196,0.691228749,4.38046672
0.690317137,0.149689696,4.488746648
0.872071252,0.207662398,4.406505139
0.742286932,0.4013218,4.516325687
0.296416002,0.727147359,4.964541578
0.511495845,0.25202862,5.314180052
0.842651273,0.231262723,5.351456472
0.83837503,0.239551455,5.394502787
0.832206929,0.246987782,5.454152773
0.829480673,0.249128852,5.524893782
0.835283607,0.239358767,5.590119563
0.85478469,0.211041196,5.617197247
0.888052914,0.163877208,5.558454801
0.925448659,0.110720042,5.371683794
0.953935523,0.070056145,5.059914848
0.969399316,0.048117022,4.676989339
0.975037865,0.040755817,4.28279126
0.973145412,0.04546111,3.918148683
0.960635917,0.068713825,3.615033409
0.918092573,0.145492065,3.424455847
0.725566933,0.459889185,3.476018379
0.055132877,0.598015261,3.897341143
0.73332327,0.115979815,3.898265597
0.867821052,0.22570587,3.802758087
0.563823703,0.64569397,4.006608174
0.0902982,0.331255517,4.455184621
0.877810201,0.155876031,4.385974876
0.841703385,0.25767022,4.354081914
0.609578872,0.565240928,4.586348203
0.159597676,0.495343585,5.106007148
0.804810001,0.21833765,5.227527098
0.844697505,0.233442948,5.247439211
0.822433486,0.264410651,5.313122682
0.784306458,0.313553202,5.452485339
0.726070262,0.37943693,5.694226891
0.6634394,0.43120487,6.045980611
0.666293581,0.403462463,6.445608613
0.778894161,0.276021429,6.731907405
